Соус Тар-тар('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
Соус Макчикен('Заказ на пт -- Вс -- Вт', 1, 2, 4, '  ')
Смесь для коктелей('Заказ на пт -- Вс -- Вт', 0, 8, 13, '  ')
Смесь для мороженное('Заказ на пт -- Вс -- Вт', 0, 7, 12, '  ')
Сыр Чеддер('Заказ на пт -- Вс -- Вт', 2, 2, 3, '  ')
Соус Биг Мак('Заказ на пт -- Вс -- Вт', 0, 2, 3, '  ')
Сироп Клубничный('Заказ на пт -- Вс -- Вт', 0, 1, 1, '  ')
Соус горчичный с хреном('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
Соус Песто('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
Сыр Тертый('Заказ на пт -- Вс -- Вт', 0, 1, 1, '  ')
Сыр Эмменталь('Заказ на пт -- Вс -- Вт', 0, 1, 1, '  ')
Соус Гриль (Биг Тейсти)('Заказ на пт -- Вс -- Вт', 0, 1, 1, '  ')
Молоко детство 0.2л('Заказ на пт -- Вс -- Вт', 0, 1, 1, '  ')
Сырный соус('Заказ на пт -- Вс -- Вт', 0, 8, 14, '  ')
Сыр Гауда('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
Соус Карри Гриль('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
Соус Сальса('Заказ на пт -- Вс -- Вт', 0, 1, 1, '  ')
Ветчина вареная ('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
Молоко('Заказ на пт -- Вс -- Вт', 7, 13, 24, '  ')
Соус Лимонно-чесночный('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
Соус 1000 островов('Заказ на пт -- Вс -- Вт', 0, 1, 2, '  ')
Крем брюле('Заказ на пт -- Вс -- Вт', 0, 0, 0, '  ')
